nstates cont ;
xread
'
evidencia total
'
1075 75

&[cont]

Ginkgo_biloba	        2.58-2.78	1.98-2.1	?	?	2.23-2.49	0.57-0.69	7.9-9.3	5.9-7.11	? 

Abies_bracteata	        ?	?	?	?	?	?	?	?	?

Actinostrobus_arenarius	1.731-1.774	1.871-2.031	1.316-1.344	1.014-1.157	0.427-0.488	0.170-0.20	0.28-0.367	0.107-0.122	6 

Actinostrobus_pyramidalis	1.266-1.394	1.390-1.446	0.859-0.875	0.653-0.673	0.469-0.501	0.154-0.176	0.351-0.436	0.093-0.1	6 

Agathis_australis	?	?	?	?	?	?	?	?	? 

Araucaria_araucana	?	?	?	?	?	?	?	?	? 

Araucaria_heterophylla	?	?	?	?	?	?	?	?	? 

Athrotaxis_cupressoides	1.066-1.183	0.827-1.017	?	?	0.364-0.404	0.3-0.40	0.417-0.475	0.271-0.305	1.166-1.267 

Athrotaxis_selaginoides	1.483-1.617	1.519-1.661	?	?	?	?	0.808-1.0	0.236-0.279	? 

Austrocedrus_chilensis	1.173-1.194	0.850-0.886	?	?	0.349-0.385	0.211-0.262	0.160-0.236	0.085-0.094	4 

Austrotaxus_spicata	?	?	?	?	?	?	9.42-10.5	0.52-0.64	? 

Callitris_macleayana	2.329-2.565	2.003-2.242	?	?	0.405-0.414	0.078-0.092	0.431-0.605	0.085-0.099	6 

Callitris_preissii	1.438-1.555	1.657-1.779	0.812-0.859	0.609-0.639	0.267-0.303	0.106-0.117	0.227-0.342	0.078-0.090	6 

Callitropsis_nootkatensis	0.826-0.891	0.880-0.987	?	?	?	?	0.182-0.226	0.132-0.145	4 

Calocedrus_macrolepis	1.377-1.649	1.084-1.376	1.078-1.092	0.522-0.558	0.370-0.438	0.227-0.241	0.397-0.451	0.140-0.171	6 

Cephalotaxus_harringtonia	1.979-2.063	1.119-1.214	1.512-1.6	0.89-1.02	0.513-0.571	0.525-0.602	2.912-3.61	0.266-0.293	1 

Chamaecyparis_lawsoniana	0.874-0.963	1.051-1.152	0.355-0.445	0.359-0.391	0.287-0.323	0.195-0.205	0.231-0.312	0.118-0.131	? 

Chamaecyparis_obtusa	1.214-1.250	1.307-1.353	0.383-0.405	0.341-0.383	?	?	0.167-0.186	0.111-0.122	0.792-0.858 

Chamaecyparis_pisifera	0.609-0.647	0.605-0.652	0.267-0.273	0.419-0.435	?	?	0.232-0.287	0.093-0.1	0.797-0.870 

Cryptomeria_japonica	1.388-1.474	1.587-1.664	0.437-0.468	0.244-0.261	0.381-0.424	0.183-0.218	0.938-1.156	0.106-0.125	1.892-2.068 

Cunninghamia_lanceolata	3.226-3.639	3.922-4.109	0.282-0.308	0.218-0.242	1.016-1.067	0.507-0.545	3.532-4.124	0.302-0.328	3.684-3.983 

